qtype	n	k	experts	tokens	total_rows	provider	sf_dequant_config	sf_dequant_us	full_dequant_config	full_dequant_us	bf16_gemm_us	previous_sum_us	sum_estimate_us	sum_delta_pct	fq_gemm_us	sf_gemm_us	fq_break_even_us	sf_gemm_break_even_us	selection
13	25600	5120	1	4096	4096	CUBLAS_PPU_SDK	5	15.017895	12	259.009987	2809.920073	3089.650065	3068.930060	-0.670626			3068.930060	3053.912164	PENDING
13	512	2048	256	2048	16384	DEEPGEMM_INSTALLED	5	28.259999	11	469.419986	379.900008	924.470037	849.319994	-8.128986			849.319994	821.059995	PENDING
13	512	2048	256	4096	32768	DEEPGEMM_INSTALLED	5	28.259999	11	469.419986	437.590003	982.160032	907.009989	-7.651507			907.009989	878.749990	PENDING
13	512	3072	256	2048	16384	DEEPGEMM_INSTALLED	5	41.123333	11	689.599991	570.010006	1374.930024	1259.609997	-8.387338			1259.609997	1218.486664	PENDING
13	512	3072	256	4096	32768	DEEPGEMM_INSTALLED	5	41.123333	11	689.599991	645.179987	1450.100005	1334.779978	-7.952557			1334.779978	1293.656645	PENDING
13	1024	2048	256	2048	16384	DEEPGEMM_INSTALLED	5	54.312003	11	913.420022	729.130030	1802.980065	1642.550051	-8.898047			1642.550051	1588.238049	PENDING
13	1024	2048	256	4096	32768	DEEPGEMM_INSTALLED	5	54.312003	11	913.420022	786.530018	1860.380054	1699.950039	-8.623508			1699.950039	1645.638037	PENDING
13	1024	3072	256	2048	16384	DEEPGEMM_INSTALLED	5	80.006669	11	1354.259968	1111.590028	2723.309994	2465.849996	-9.453937			2465.849996	2385.843327	PENDING
13	1024	3072	256	4096	32768	DEEPGEMM_INSTALLED	5	80.006669	11	1354.259968	1159.369946	2771.089911	2513.629913	-9.290929			2513.629913	2433.623244	PENDING
13	2048	512	256	2048	16384	DEEPGEMM_INSTALLED	5	28.002222	11	466.820002	334.230006	877.460003	801.050007	-8.708089			801.050007	773.047785	PENDING
13	2048	512	256	4096	32768	DEEPGEMM_INSTALLED	5	28.002222	11	466.820002	388.770014	932.000011	855.590016	-8.198497			855.590016	827.587793	PENDING
13	3072	512	256	2048	16384	DEEPGEMM_INSTALLED	5	41.049999	11	697.499990	499.520004	1307.699978	1197.019994	-8.463714			1197.019994	1155.969995	PENDING
13	3072	512	256	4096	32768	DEEPGEMM_INSTALLED	5	41.049999	11	697.499990	570.789993	1378.969967	1268.289983	-8.026280			1268.289983	1227.239984	PENDING
